gk_name,team,match_id,minute,period,action_type,action_category,action_outcome,action_x,action_y,body_part,technique
Bart Verbruggen,Netherlands,3941021,46,1,Shot Saved,Save,Saved Twice,2.3,39.9,Both Hands,Standing
Bart Verbruggen,Netherlands,3941021,47,2,Punch,Punch,Punched out,7.5,38.5,,
Florin Constantin Niţă,Romania,3941021,49,2,Shot Faced,Save,,4.4,39.4,,
Florin Constantin Niţă,Romania,3941021,49,2,Shot Faced,Save,,0.9,39.2,,
Florin Constantin Niţă,Romania,3941021,53,2,Shot Faced,Save,,1.8,36.9,,
Florin Constantin Niţă,Romania,3941021,53,2,Shot Faced,Save,,1.9,40.4,,
Florin Constantin Niţă,Romania,3941021,53,2,Save,Save,Success,2.2,40.1,Both Hands,Standing
Florin Constantin Niţă,Romania,3941021,56,2,Shot Faced,Save,,4.0,40.4,,
Florin Constantin Niţă,Romania,3941021,57,2,Shot Faced,Save,,1.3,39.4,,
Florin Constantin Niţă,Romania,3941021,58,2,Shot Saved,Save,Success,1.9,43.0,Both Hands,Standing
Bart Verbruggen,Netherlands,3941021,59,2,Shot Faced,Save,,2.2,37.9,,
Florin Constantin Niţă,Romania,3941021,61,2,Shot Saved,Save,Touched Out,5.1,38.7,Both Hands,Diving
Florin Constantin Niţă,Romania,3941021,62,2,Shot Faced,Save,,1.5,38.1,,
Florin Constantin Niţă,Romania,3941021,67,2,Shot Faced,Save,,1.3,39.4,,
Florin Constantin Niţă,Romania,3941021,72,2,Shot Faced,Save,,1.5,44.2,,
Florin Constantin Niţă,Romania,3941021,78,2,Shot Faced,Save,,2.3,42.8,,
Florin Constantin Niţă,Romania,3941021,79,2,Shot Faced,Save,,2.9,37.0,,
Florin Constantin Niţă,Romania,3941021,82,2,Goal Conceded,Other,No Touch,0.7,44.9,,Standing
Florin Constantin Niţă,Romania,3941021,84,2,Shot Faced,Save,,1.9,43.4,,
Bart Verbruggen,Netherlands,3941021,90,2,Keeper Sweeper,Sweeper,Claim,12.8,45.0,,
Florin Constantin Niţă,Romania,3941021,92,2,Goal Conceded,Other,No Touch,5.3,42.0,,Standing
Jan Oblak,Slovenia,3941020,4,1,Shot Faced,Save,,1.0,37.2,,
Jan Oblak,Slovenia,3941020,30,1,Shot Saved,Save,Success,1.6,37.8,Both Hands,Standing
Jan Oblak,Slovenia,3941020,33,1,Shot Faced,Save,,1.4,39.3,,
Jan Oblak,Slovenia,3941020,38,1,Shot Faced,Save,,1.1,40.7,,
Diogo Meireles Costa,Portugal,3941020,43,1,Shot Saved,Save,Success,4.2,41.1,Both Hands,Standing
Diogo Meireles Costa,Portugal,3941020,44,1,Shot Faced,Save,,1.0,42.0,,
Jan Oblak,Slovenia,3941020,47,1,Shot Faced,Save,,0.7,39.4,,
Jan Oblak,Slovenia,3941020,46,2,Shot Faced,Save,,1.5,39.7,,
Diogo Meireles Costa,Portugal,3941020,48,2,Shot Saved Off Target,Save,Success,1.1,41.4,Both Hands,Standing
Jan Oblak,Slovenia,3941020,51,2,Shot Faced,Save,,1.9,41.5,,
Jan Oblak,Slovenia,3941020,54,2,Shot Saved,Save,In Play Danger,1.1,41.0,Both Hands,Standing
Jan Oblak,Slovenia,3941020,56,2,Shot Faced,Save,,1.3,39.5,,
Jan Oblak,Slovenia,3941020,57,2,Shot Faced,Save,,1.2,40.4,,
Jan Oblak,Slovenia,3941020,58,2,Shot Faced,Save,,1.2,40.2,,
Jan Oblak,Slovenia,3941020,58,2,Keeper Sweeper,Sweeper,Claim,3.7,32.4,,
Diogo Meireles Costa,Portugal,3941020,58,2,Shot Faced,Save,,1.1,40.3,,
Diogo Meireles Costa,Portugal,3941020,61,2,Shot Faced,Save,,6.7,43.9,,
Jan Oblak,Slovenia,3941020,71,2,Shot Faced,Save,,1.5,39.5,,
Jan Oblak,Slovenia,3941020,72,2,Collected,Other,Success,5.0,41.9,,
