match_id,shooter,shooting_team,goalkeeper,xg,outcome,shot_x,shot_y,minute,period,is_goal,is_save,is_on_target,distance_to_goal,danger_zone
3938642,Matěj Jurásek,Czech Republic,Giorgi Mamardashvili,0.0297,Saved,101.0,23.0,93,2,0,1,1,25.495097567963924,Outside box
3938642,Tomáš Holeš,Czech Republic,Giorgi Mamardashvili,0.0193,Blocked,88.9,41.4,94,2,0,0,0,31.131495306200758,Outside box
3938642,Saba Lobzhanidze,Georgia,Jindřich Staněk,0.3065,Off T,108.1,49.2,94,2,0,0,0,15.041608956491329,Penalty area close
3938639,Kaan Ayhan,Turkey,Giorgi Mamardashvili,0.1093,Off T,113.7,37.4,5,1,0,0,0,6.815423684555492,6-yard box
3938639,Hakan Çalhanoğlu,Turkey,Giorgi Mamardashvili,0.0105,Blocked,99.0,59.3,6,1,0,0,0,28.521746089606783,Outside box
3938639,Abdülkerim Bardakcı,Turkey,Giorgi Mamardashvili,0.1177,Off T,113.4,36.5,9,1,0,0,0,7.470609078247899,6-yard box
3938639,Kaan Ayhan,Turkey,Giorgi Mamardashvili,0.0473,Post,98.2,32.6,9,1,0,0,0,23.021728866442675,Penalty area edge
3938639,Anzor Mekvabishvili,Georgia,Fehmi Mert Günok,0.0275,Saved,92.7,40.9,10,1,0,1,1,27.314831136216085,Outside box
3938639,Georges Mikautadze,Georgia,Fehmi Mert Günok,0.0309,Off T,101.3,25.7,11,1,0,0,0,23.541028014935968,Penalty area edge
3938639,Kenan Yildiz,Turkey,Giorgi Mamardashvili,0.0101,Saved,111.6,20.7,13,1,0,1,1,21.048752932181046,Penalty area edge
3938639,Hakan Çalhanoğlu,Turkey,Giorgi Mamardashvili,0.0404,Off T,103.3,31.0,20,1,0,0,0,18.970766985021985,Penalty area edge
3938639,Orkun Kökçü,Turkey,Giorgi Mamardashvili,0.0214,Blocked,92.6,29.1,22,1,0,0,0,29.488472323943814,Outside box
3938639,Mert Müldür,Turkey,Giorgi Mamardashvili,0.0487,Goal,102.6,48.7,24,1,1,0,1,19.45379140424818,Penalty area edge
3938639,Orkun Kökçü,Turkey,Giorgi Mamardashvili,0.3229,Wayward,111.6,45.6,26,1,0,0,0,10.095543571299176,Penalty area close
3938639,Heorhii Tsitaishvili,Georgia,Fehmi Mert Günok,0.0088,Saved,110.0,20.4,29,1,0,1,1,22.00363606316011,Penalty area edge
3938639,Georges Mikautadze,Georgia,Fehmi Mert Günok,0.199,Goal,111.2,49.7,31,1,1,0,1,13.096946208945047,Penalty area close
