match_id,player_name,team_name,type_name,gk_name,xg,outcome,shot_x,shot_y
3938641,Stefan Posch,Austria,Shot,Wojciech Szczęsny,0.062189415,Saved,111.5,37.6
3938641,Krzysztof Piątek,Poland,Shot,Patrick Pentz,0.04481905,Off T,95.3,42.6
3938641,Marcel Sabitzer,Austria,Shot,Wojciech Szczęsny,0.03803288,Blocked,103.6,26.7
3938641,Adam Buksa,Poland,Shot,Patrick Pentz,0.01743585,Blocked,103.9,42.4
3938641,Piotr Zieliński,Poland,Shot,Patrick Pentz,0.04008755,Blocked,96.8,24.1
3938641,Paweł Dawidowicz,Poland,Shot,Patrick Pentz,0.06839087,Off T,113.0,47.4
3938641,Christoph Baumgartner,Austria,Shot,Wojciech Szczęsny,0.14242558,Goal,102.5,36.3
3938641,Karol Świderski,Poland,Shot,Patrick Pentz,0.07291489,Saved,99.6,33.0
3938641,Patrick Wimmer,Austria,Shot,Wojciech Szczęsny,0.062519945,Saved,103.1,44.4
3938641,Nicolas Seiwald,Austria,Shot,Wojciech Szczęsny,0.033934437,Saved,95.9,35.7
3938641,Marko Arnautović,Austria,Shot,Wojciech Szczęsny,0.7835,Goal,108.0,40.0
3938641,Stefan Posch,Austria,Shot,Wojciech Szczęsny,0.040483512,Saved,97.6,49.9
3938641,Konrad Laimer,Austria,Shot,Wojciech Szczęsny,0.16341422,Off T,115.2,28.3
3938641,Piotr Zieliński,Poland,Shot,Patrick Pentz,0.014394102,Off T,91.4,48.8
3938641,Kamil Grosicki,Poland,Shot,Patrick Pentz,0.12030749,Off T,112.7,32.9
3938642,Adam Hložek,Czech Republic,Shot,Giorgi Mamardashvili,0.11786606,Saved,110.7,30.3
3938642,Ladislav Krejčí,Czech Republic,Shot,Giorgi Mamardashvili,0.03927281,Blocked,108.9,32.4
3938642,Patrik Schick,Czech Republic,Shot,Giorgi Mamardashvili,0.1550353,Saved,112.8,46.4
3938642,Patrik Schick,Czech Republic,Shot,Giorgi Mamardashvili,0.025926754,Saved,105.6,41.2
3938642,Václav Černý,Czech Republic,Shot,Giorgi Mamardashvili,0.030162912,Blocked,99.6,52.7
3938642,Patrik Schick,Czech Republic,Shot,Giorgi Mamardashvili,0.043804016,Blocked,102.2,37.3
3938642,Lukáš Provod,Czech Republic,Shot,Giorgi Mamardashvili,0.029279253,Blocked,93.5,44.0
3938642,Patrik Schick,Czech Republic,Shot,Giorgi Mamardashvili,0.085338846,Wayward,112.2,42.3
3938642,Ladislav Krejčí,Czech Republic,Shot,Giorgi Mamardashvili,0.041940983,Wayward,108.5,42.3
3938642,Adam Hložek,Czech Republic,Shot,Giorgi Mamardashvili,0.29124188,Saved,113.9,35.8
3938642,Václav Černý,Czech Republic,Shot,Giorgi Mamardashvili,0.53146774,Saved,113.6,43.0
3938642,Adam Hložek,Czech Republic,Shot,Giorgi Mamardashvili,0.047878973,Saved,101.1,27.1
3938642,Otar Kakabadze,Georgia,Shot,Jindřich Staněk,0.012979693,Blocked,101.1,56.3
3938642,Georges Mikautadze,Georgia,Shot,Jindřich Staněk,0.7835,Goal,108.1,40.1
3938642,Patrik Schick,Czech Republic,Shot,Giorgi Mamardashvili,0.11700317,Saved,104.6,39.9
