match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,dist_to_shot,extreme_position,own_keeper_advanced
3930165,Marcus Thuram,France,Patrick Pentz,Wayward,0,0.06899431,115.3,47.9,118.9,42.7,1.1,2.7,6.32,False,False
3930165,Theo Bernard François Hernández,France,Patrick Pentz,Wayward,0,0.020863526,115.5,26.8,118.9,35.8,1.1,-4.2,9.62,False,False
3930166,Nuno Mendes,Portugal,Jindřich Staněk,Off T,0,0.007152914,89.6,25.3,116.5,38.3,3.5,-1.7,29.88,False,False
3930166,Vitor Machado Ferreira,Portugal,Jindřich Staněk,Saved,0,0.03203486,91.3,35.1,117.0,38.7,3.0,-1.3,25.95,False,False
3930166,Cristiano Ronaldo dos Santos Aveiro,Portugal,Jindřich Staněk,Saved,0,0.05240551,92.3,38.0,118.5,41.5,1.5,1.5,26.43,False,False
3930166,Bruno Miguel Borges Fernandes,Portugal,Jindřich Staněk,Blocked,0,0.0055739963,92.6,20.6,117.1,37.8,2.9,-2.2,29.93,False,False
3930166,Vitor Machado Ferreira,Portugal,Jindřich Staněk,Saved,0,0.037158106,96.7,32.6,117.9,40.3,2.1,0.3,22.56,False,False
3930166,Lukáš Provod,Czech Republic,Diogo Meireles Costa,Goal,1,0.035857204,98.3,48.1,118.2,42.2,1.8,2.2,20.76,False,False
3930166,José Diogo Dalot Teixeira,Portugal,Jindřich Staněk,Off T,0,0.02290134,99.2,55.7,117.5,42.7,2.5,2.7,22.45,False,False
3930166,Rúben Santos Gato Alves Dias,Portugal,Jindřich Staněk,Blocked,0,0.03168744,99.7,52.2,116.1,43.2,3.9,3.2,18.71,False,False
